State,Age,Persons,Males,Females
INDIA,All ages,1028610328,532156772,496453556
INDIA,0-6,163819614,84999203,78820411
INDIA,7,23045028,11910330,11134698
INDIA,8,31031074,16174274,14856800
INDIA,9,20868238,10770638,10097600
INDIA,10,33855378,17941703,15913675
INDIA,11,18078949,9505257,8573692
INDIA,12,30427429,16153819,14273610
INDIA,13,19897051,10219364,9677687
INDIA,14,22588051,11812734,10775317
INDIA,15,22521059,12225932,10295127
INDIA,16,21777810,11572289,10205521
INDIA,17,14898862,8033721,6865141
INDIA,18,27686902,15166111,12520791
INDIA,19,13331257,6941938,6389319
INDIA,20-24,89764132,46321150,43442982
INDIA,25-29,83422393,41557546,41864847
INDIA,30-34,74274044,37361916,36912128
INDIA,35-39,70574085,36038727,34535358
INDIA,40-44,55738297,29878715,25859582
INDIA,45-49,47408976,24867886,22541090
INDIA,50-54,36587559,19851608,16735951
INDIA,55-59,27653347,13583022,14070325
INDIA,60-64,27516779,13586347,13930432
INDIA,65-69,19806955,9472103,10334852
INDIA,70-74,14708644,7527688,7180956
INDIA,75-79,6551225,3263209,3288016
INDIA,80+,8038718,3918980,4119738
INDIA,Age not stated,2738472,1500562,1237910
UTTARAKHAND,All ages,8489349,4325924,4163425
UTTARAKHAND,0-6,1360032,712949,647083
UTTARAKHAND,7,194956,100563,94393
UTTARAKHAND,8,249951,130325,119626
UTTARAKHAND,9,188507,97320,91187
UTTARAKHAND,10,267500,140300,127200
UTTARAKHAND,11,173807,90500,83307
UTTARAKHAND,12,254137,132934,121203
UTTARAKHAND,13,189796,95664,94132
UTTARAKHAND,14,208290,106866,101424
UTTARAKHAND,15,204524,106305,98219
UTTARAKHAND,16,202706,104043,98663
UTTARAKHAND,17,157106,81810,75296
UTTARAKHAND,18,231579,125608,105971
UTTARAKHAND,19,133944,68152,65792
UTTARAKHAND,20-24,742540,371700,370840
UTTARAKHAND,25-29,625834,302807,323027
UTTARAKHAND,30-34,547173,267320,279853
UTTARAKHAND,35-39,527314,260250,267064
UTTARAKHAND,40-44,434970,224267,210703
UTTARAKHAND,45-49,375690,189277,186413
UTTARAKHAND,50-54,309198,162143,147055
UTTARAKHAND,55-59,237669,118279,119390
UTTARAKHAND,60-64,229519,113902,115617
UTTARAKHAND,65-69,166863,80695,86168
UTTARAKHAND,70-74,127320,65530,61790
UTTARAKHAND,75-79,60470,31216,29254
UTTARAKHAND,80+,70184,35372,34812
UTTARAKHAND,Age not stated,17770,9827,7943
MANIPUR,All ages,2166788,1095634,1071154
MANIPUR,0-6,308585,157682,150903
MANIPUR,7,46712,23831,22881
MANIPUR,8,55409,28164,27245
MANIPUR,9,37491,19192,18299
MANIPUR,10,66157,34090,32067
MANIPUR,11,35434,18246,17188
MANIPUR,12,58813,30189,28624
MANIPUR,13,47277,23836,23441
MANIPUR,14,50827,25637,25190
MANIPUR,15,54323,27513,26810
MANIPUR,16,49254,24484,24770
MANIPUR,17,35698,17598,18100
MANIPUR,18,68726,34119,34607
MANIPUR,19,29975,14821,15154
MANIPUR,20-24,222484,110393,112091
MANIPUR,25-29,193882,95097,98785
MANIPUR,30-34,159016,80757,78259
MANIPUR,35-39,147041,74098,72943
MANIPUR,40-44,116885,59858,57027
MANIPUR,45-49,98549,50241,48308
MANIPUR,50-54,78474,41206,37268
MANIPUR,55-59,55773,28929,26844
MANIPUR,60-64,48133,24343,23790
MANIPUR,65-69,35897,17990,17907
MANIPUR,70-74,28806,14561,14245
MANIPUR,75-79,15459,7894,7565
MANIPUR,80+,17175,8445,8730
MANIPUR,Age not stated,4533,2420,2113
TAMIL NADU,All ages,62405679,31400909,31004770
TAMIL NADU,0-6,7235160,3725616,3509544
TAMIL NADU,7,1151945,594075,557870
TAMIL NADU,8,1215263,617029,598234
TAMIL NADU,9,1096180,558557,537623
TAMIL NADU,10,1361472,706839,654633
TAMIL NADU,11,1032455,533545,498910
TAMIL NADU,12,1312936,680658,632278
TAMIL NADU,13,1204733,606677,598056
TAMIL NADU,14,1100730,559084,541646
TAMIL NADU,15,1279173,657144,622029
TAMIL NADU,16,1112887,557120,555767
TAMIL NADU,17,1140281,585151,555130
TAMIL NADU,18,1465308,738268,727040
TAMIL NADU,19,1186118,597912,588206
TAMIL NADU,20-24,5801384,2872914,2928470
TAMIL NADU,25-29,5719070,2732907,2986163
TAMIL NADU,30-34,4687799,2344412,2343387
TAMIL NADU,35-39,4919080,2396927,2522153
TAMIL NADU,40-44,3786341,1978669,1807672
TAMIL NADU,45-49,3610873,1842970,1767903
TAMIL NADU,50-54,2817473,1452890,1364583
TAMIL NADU,55-59,2232676,1101957,1130719
TAMIL NADU,60-64,2049791,1019088,1030703
TAMIL NADU,65-69,1374926,663631,711295
TAMIL NADU,70-74,1030919,520254,510665
TAMIL NADU,75-79,498560,261694,236866
TAMIL NADU,80+,553204,271133,282071
TAMIL NADU,Age not stated,428942,223788,205154
GOA,All ages,1347668,687248,660420
GOA,0-6,145968,75338,70630
GOA,7,21168,10795,10373
GOA,8,23119,11815,11304
GOA,9,20958,10672,10286
GOA,10,27069,13742,13327
GOA,11,20375,10329,10046
GOA,12,26194,13585,12609
GOA,13,22561,11466,11095
GOA,14,23814,12182,11632
GOA,15,23912,12137,11775
GOA,16,24229,12260,11969
GOA,17,21957,11224,10733
GOA,18,32171,17091,15080
GOA,19,22762,12258,10504
GOA,20-24,142016,75652,66364
GOA,25-29,138614,70745,67869
GOA,30-34,117544,61304,56240
GOA,35-39,104565,53245,51320
GOA,40-44,82539,44065,38474
GOA,45-49,75632,38066,37566
GOA,50-54,64311,32882,31429
GOA,55-59,46905,23063,23842
GOA,60-64,42394,19972,22422
GOA,65-69,28168,12501,15667
GOA,70-74,20484,8650,11834
GOA,75-79,10315,4279,6036
GOA,80+,10912,4274,6638
GOA,Age not stated,7012,3656,3356
JAMMU & KASHMIR,All ages,10143700,5360926,4782774
JAMMU & KASHMIR,0-6,1485803,765394,720409
JAMMU & KASHMIR,7,217317,111487,105830
JAMMU & KASHMIR,8,321662,165379,156283
JAMMU & KASHMIR,9,231584,119404,112180
JAMMU & KASHMIR,10,368272,190872,177400
JAMMU & KASHMIR,11,178719,93395,85324
JAMMU & KASHMIR,12,333604,172296,161308
JAMMU & KASHMIR,13,210357,106871,103486
JAMMU & KASHMIR,14,269707,139403,130304
JAMMU & KASHMIR,15,265700,136751,128949
JAMMU & KASHMIR,16,281221,143852,137369
JAMMU & KASHMIR,17,160447,82204,78243
JAMMU & KASHMIR,18,316768,164487,152281
JAMMU & KASHMIR,19,122945,65038,57907
JAMMU & KASHMIR,20-24,889969,476469,413500
JAMMU & KASHMIR,25-29,789383,422668,366715
JAMMU & KASHMIR,30-34,697138,378777,318361
JAMMU & KASHMIR,35-39,690105,362578,327527
JAMMU & KASHMIR,40-44,538689,302759,235930
JAMMU & KASHMIR,45-49,458315,245036,213279
JAMMU & KASHMIR,50-54,340304,199297,141007
JAMMU & KASHMIR,55-59,254652,125846,128806
JAMMU & KASHMIR,60-64,243842,137398,106444
JAMMU & KASHMIR,65-69,158118,78254,79864
JAMMU & KASHMIR,70-74,132824,75284,57540
JAMMU & KASHMIR,75-79,58497,30246,28251
JAMMU & KASHMIR,80+,82043,44645,37398
JAMMU & KASHMIR,Age not stated,45715,24836,20879
NAGALAND,All ages,1990036,1047141,942895
NAGALAND,0-6,289678,147524,142154
NAGALAND,7,45168,23287,21881
NAGALAND,8,62952,32748,30204
NAGALAND,9,47392,24878,22514
NAGALAND,10,74025,38774,35251
NAGALAND,11,36483,19155,17328
NAGALAND,12,68636,35700,32936
NAGALAND,13,45124,23521,21603
NAGALAND,14,58951,30571,28380
NAGALAND,15,56508,29797,26711
NAGALAND,16,60758,31664,29094
NAGALAND,17,37388,19680,17708
NAGALAND,18,77284,40683,36601
NAGALAND,19,34166,18099,16067
NAGALAND,20-24,209930,110221,99709
NAGALAND,25-29,163442,83129,80313
NAGALAND,30-34,122907,64536,58371
NAGALAND,35-39,122224,63725,58499
NAGALAND,40-44,94984,50914,44070
NAGALAND,45-49,87263,47494,39769
NAGALAND,50-54,59972,35162,24810
NAGALAND,55-59,39734,22543,17191
NAGALAND,60-64,31747,18067,13680
NAGALAND,65-69,20957,11610,9347
NAGALAND,70-74,14881,8348,6533
NAGALAND,75-79,9127,5001,4126
NAGALAND,80+,13611,7710,5901
NAGALAND,Age not stated,4744,2600,2144
CHHATTISGARH,All ages,20833803,10474218,10359585
CHHATTISGARH,0-6,3554916,1800413,1754503
CHHATTISGARH,7,459063,231150,227913
CHHATTISGARH,8,573730,291950,281780
CHHATTISGARH,9,499608,249131,250477
CHHATTISGARH,10,669385,342573,326812
CHHATTISGARH,11,437320,226375,210945
CHHATTISGARH,12,601060,308571,292489
CHHATTISGARH,13,438366,220748,217618
CHHATTISGARH,14,459206,234670,224536
CHHATTISGARH,15,455373,239101,216272
CHHATTISGARH,16,438713,222878,215835
CHHATTISGARH,17,303652,161405,142247
CHHATTISGARH,18,484503,258364,226139
CHHATTISGARH,19,249483,126693,122790
CHHATTISGARH,20-24,1671488,827776,843712
CHHATTISGARH,25-29,1636950,814809,822141
CHHATTISGARH,30-34,1542280,755721,786559
CHHATTISGARH,35-39,1424842,729700,695142
CHHATTISGARH,40-44,1096145,565191,530954
CHHATTISGARH,45-49,946009,482637,463372
CHHATTISGARH,50-54,748558,384446,364112
CHHATTISGARH,55-59,610688,294489,316199
CHHATTISGARH,60-64,568926,263949,304977
CHHATTISGARH,65-69,402092,181311,220781
CHHATTISGARH,70-74,275341,127203,148138
CHHATTISGARH,75-79,122719,55014,67705
CHHATTISGARH,80+,135305,62208,73097
CHHATTISGARH,Age not stated,28082,15742,12340
UTTAR PRADESH,All ages,166197921,87565369,78632552
UTTAR PRADESH,0-6,31624628,16509033,15115595
UTTAR PRADESH,7,4095286,2144766,1950520
UTTAR PRADESH,8,6506706,3453580,3053126
UTTAR PRADESH,9,3386278,1778582,1607696
UTTAR PRADESH,10,6989425,3805802,3183623
UTTAR PRADESH,11,2663137,1430368,1232769
UTTAR PRADESH,12,5738274,3120058,2618216
UTTAR PRADESH,13,3047586,1585504,1462082
UTTAR PRADESH,14,3872012,2044323,1827689
UTTAR PRADESH,15,3894270,2193030,1701240
UTTAR PRADESH,16,3727299,2033407,1693892
UTTAR PRADESH,17,2052690,1134353,918337
UTTAR PRADESH,18,4770256,2757926,2012330
UTTAR PRADESH,19,1600326,857707,742619
UTTAR PRADESH,20-24,13311974,6974638,6337336
UTTAR PRADESH,25-29,11792446,5981334,5811112
UTTAR PRADESH,30-34,10814273,5339396,5474877
UTTAR PRADESH,35-39,9808560,5076548,4732012
UTTAR PRADESH,40-44,8047432,4314100,3733332
UTTAR PRADESH,45-49,6639015,3452212,3186803
UTTAR PRADESH,50-54,5334446,3013249,2321197
UTTAR PRADESH,55-59,4095223,1982803,2112420
UTTAR PRADESH,60-64,4292319,2263835,2028484
UTTAR PRADESH,65-69,2906703,1467691,1439012
UTTAR PRADESH,70-74,2239888,1252699,987189
UTTAR PRADESH,75-79,943157,498182,444975
UTTAR PRADESH,80+,1267401,692487,574914
UTTAR PRADESH,Age not stated,736911,407756,329155
MADHYA PRADESH,All ages,60348023,31443652,28904371
MADHYA PRADESH,0-6,10782214,5579847,5202367
MADHYA PRADESH,7,1385697,710779,674918
MADHYA PRADESH,8,2002398,1037498,964900
MADHYA PRADESH,9,1313098,672018,641080
MADHYA PRADESH,10,2160767,1137640,1023127
MADHYA PRADESH,11,1124728,600693,524035
MADHYA PRADESH,12,1921483,1029501,891982
MADHYA PRADESH,13,1182292,618571,563721
MADHYA PRADESH,14,1379739,737389,642350
MADHYA PRADESH,15,1303417,730449,572968
MADHYA PRADESH,16,1307333,715841,591492
MADHYA PRADESH,17,786341,436104,350237
MADHYA PRADESH,18,1628525,916067,712458
MADHYA PRADESH,19,665001,357254,307747
MADHYA PRADESH,20-24,5168016,2693698,2474318
MADHYA PRADESH,25-29,4664502,2364315,2300187
MADHYA PRADESH,30-34,4348461,2189149,2159312
MADHYA PRADESH,35-39,3927208,2062808,1864400
MADHYA PRADESH,40-44,3016434,1635980,1380454
MADHYA PRADESH,45-49,2437191,1281601,1155590
MADHYA PRADESH,50-54,1890978,1035226,855752
MADHYA PRADESH,55-59,1511753,723319,788434
MADHYA PRADESH,60-64,1572796,778022,794774
MADHYA PRADESH,65-69,1102622,523430,579192
MADHYA PRADESH,70-74,816977,414281,402696
MADHYA PRADESH,75-79,352761,168501,184260
MADHYA PRADESH,80+,435768,207559,228209
MADHYA PRADESH,Age not stated,159523,86112,73411
