Age-Group,2001-Male,2001-Female
0-9,123854445,114909509
10-14,65632877,59213981
15-19,53939991,46275899
20-24,46321150,43442982
25-29,41557546,41864847
30-34,37361916,36912128
35-39,36038727,34535358
40-44,29878715,25859582
45-49,24867886,22541090
50-54,19851608,16735951
55-59,13583022,14070325
60-64,13586347,13930432
65-69,9472103,10334852
70-74,7527688,7180956
75-79,3263209,3288016
80+,3918980,4119738
Age not stated,1500562,1237910
Total Population,1028610328,
