Age-Group,2011-Male,2011-Female
0-9,124932540,114802364
10-14,69418835,63290377
15-19,63982396,56544053
20-24,57584693,53839529
25-29,51344208,50069757
30-34,44660674,43934277
35-39,42919381,42221303
40-44,37545386,34892726
45-49,32138114,30180213
50-54,25843266,23225988
55-59,19456012,19690043
60-64,18701749,18961958
65-69,12944326,13510657
70-74,9651499,9557343
75-79,4490603,4741900
80+,5283695,6005310
Age not stated,2372881,2116921
Total Population,1210854977,
