Prevalence-Rate,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
1999,8.90 13.61 4.98,12.68 19.42 7.25,62.74 95.60 39.20,100.99 147.91 67.51,170.59 227.43 127.74,195.81 265.21 145.86,224.46 289.60 174.72,233.07 298.74 183.09,229.96 297.52 180.71,237.96 301.18 188.81,232.96 301.25 182.67,240.56 306.45 190.71,233.56 303.27 182.42,241.60 307.79 190.95,231.50 297.22 182.51,240.66 311.04 192.29,224.25 285.98 176.76,234.70 302.94 185.68,212.22 268.98 166.38,223.08 283.72 176.42,191.54 247.37 146.50,199.51 253.87 149.97,161.13 212.05 113.49,162.51 217.42 113.44,139.84 189.52 92.99,133.25 187.93 86.68,114.60 163.55 71.31,96.36 148.25 55.89
2000,8.95 13.75 5.01,12.75 19.52 7.31,62.89 95.53 39.20,101.18 148.67 67.59,171.08 227.90 128.13,196.26 265.78 146.33,225.54 291.17 175.30,233.76 299.69 183.65,231.11 299.48 181.34,238.72 302.57 189.32,234.19 303.17 183.82,241.33 307.86 190.87,234.95 305.12 183.40,242.42 310.43 191.51,232.91 298.70 183.79,241.44 312.54 192.96,225.73 287.78 177.81,235.28 304.32 185.48,213.71 270.05 167.63,223.74 285.19 176.05,192.95 248.89 147.20,200.01 255.03 150.24,162.30 213.51 114.39,163.23 217.92 113.93,140.69 190.67 93.68,134.22 189.09 87.47,115.07 164.59 71.41,97.10 149.19 56.49
2001,8.97 13.79 5.03,12.79 19.57 7.31,62.91 95.79 39.30,101.17 148.41 67.53,171.57 228.97 128.28,196.57 266.30 146.64,226.56 292.50 175.97,234.32 300.23 184.09,232.27 301.42 182.00,239.42 303.16 189.97,235.27 304.52 184.37,241.89 308.36 191.49,236.24 307.23 184.55,243.04 310.68 192.27,234.18 301.06 184.73,241.99 312.65 193.78,227.04 289.02 179.05,235.55 304.56 185.68,215.10 271.90 168.74,224.00 285.38 176.22,194.38 249.90 148.44,200.29 255.70 150.41,163.65 214.96 115.45,163.59 218.31 114.05,141.88 192.39 94.73,134.94 189.83 88.43,115.75 165.32 72.08,97.58 149.75 57.06
2002,8.98 13.80 5.04,12.81 19.60 7.28,62.89 95.99 39.34,101.10 148.23 67.37,172.15 230.23 128.68,196.88 266.81 146.84,227.79 294.36 176.81,234.95 301.48 184.65,233.66 303.83 182.83,240.17 304.01 190.61,236.62 306.79 185.30,242.56 309.17 192.16,237.75 309.15 185.75,243.75 311.14 192.92,235.54 303.56 185.71,242.61 312.96 194.54,228.29 290.37 180.06,236.00 304.63 186.29,216.49 273.92 169.98,224.40 285.38 177.00,195.95 251.30 149.59,200.90 256.43 150.96,165.18 216.71 116.41,163.97 218.60 114.39,143.46 194.60 95.98,135.63 190.46 88.86,116.85 166.61 73.03,97.99 149.94 57.41
2003,8.97 13.80 5.05,12.81 19.62 7.26,62.87 96.16 39.19,101.04 148.20 67.13,172.80 231.54 129.17,197.18 266.89 146.98,229.01 296.32 177.42,235.55 302.82 185.20,235.04 306.09 183.68,240.88 304.86 191.12,238.01 309.24 186.21,243.25 310.12 192.84,239.20 310.93 186.77,244.42 311.67 193.40,236.89 305.88 186.76,243.23 313.46 195.25,229.57 291.88 181.15,236.60 304.69 187.13,217.92 276.22 171.18,224.93 285.57 178.19,197.63 253.02 150.71,201.75 257.41 151.80,166.88 218.70 117.81,164.50 218.76 114.93,145.34 196.99 97.31,136.39 191.13 89.45,118.32 168.65 74.02,98.49 150.39 57.69
2004,8.96 13.78 5.04,12.82 19.65 7.27,62.88 96.35 39.15,101.05 148.23 67.14,173.47 232.61 129.67,197.47 266.99 147.14,229.99 297.90 177.87,236.03 303.87 185.62,236.15 307.49 184.41,241.45 305.36 191.48,239.20 311.09 186.98,243.85 311.01 193.44,240.39 312.45 187.55,244.96 312.14 193.89,238.14 308.27 187.80,243.81 314.13 195.84,230.93 294.01 182.04,237.28 305.35 188.01,219.42 278.87 172.12,225.60 286.30 179.20,199.39 254.93 151.74,202.73 258.56 152.76,168.64 221.30 119.22,165.23 219.27 115.62,147.27 199.70 98.72,137.31 192.12 90.26,119.87 170.90 74.93,99.23 151.11 58.36
2005,8.96 13.75 5.04,12.84 19.71 7.29,62.95 96.59 39.17,101.16 148.40 67.28,174.09 233.63 130.04,197.75 267.04 147.39,230.50 298.60 178.08,236.30 304.37 185.82,236.74 308.19 184.70,241.76 305.26 191.63,239.92 312.02 187.63,244.24 311.59 193.89,241.10 313.40 187.96,245.30 312.42 194.21,239.20 309.94 188.19,244.27 314.90 196.20,232.42 296.35 182.43,238.01 306.78 188.68,221.01 281.93 172.52,226.42 287.86 179.79,201.13 256.90 152.64,203.64 259.80 153.62,170.26 223.89 120.23,166.21 220.37 116.36,148.92 202.07 99.67,138.47 194.16 90.86,121.08 172.85 75.18,100.36 152.79 59.00
2006,8.98 13.77 5.06,12.88 19.77 7.33,63.07 96.75 39.36,101.39 148.81 67.21,174.93 234.92 130.63,198.27 267.29 147.72,231.26 298.86 179.60,236.80 304.40 186.05,237.57 308.57 185.49,242.30 306.01 192.48,240.97 312.65 188.76,244.98 312.10 194.77,241.96 314.55 189.27,245.86 312.65 194.71,240.46 311.67 189.12,244.98 315.50 197.06,234.30 298.76 184.08,239.01 307.58 189.76,223.01 284.51 174.23,227.56 289.41 180.92,203.21 259.80 154.68,204.77 260.77 154.82,172.30 226.37 121.83,167.60 221.89 117.70,150.93 204.44 101.58,140.09 195.96 92.15,122.70 174.75 76.31,102.12 154.82 60.13
2007,9.01 13.79 5.08,12.94 19.80 7.38,63.27 96.98 39.59,101.73 149.43 67.36,176.10 236.74 131.45,199.14 268.30 148.24,232.82 300.37 181.66,237.86 305.12 186.59,239.25 310.59 186.95,243.43 307.33 193.33,242.80 314.13 190.75,246.28 313.53 195.36,243.63 316.92 191.10,247.07 314.09 195.45,242.33 314.18 190.93,246.27 317.13 198.32,236.53 301.59 185.89,240.38 309.27 190.96,225.42 287.83 176.15,229.01 291.45 181.97,205.72 263.37 157.08,206.33 262.44 156.25,175.11 230.36 124.09,169.41 224.17 119.27,153.66 207.53 103.69,142.02 198.63 93.55,125.35 178.25 78.21,104.39 157.84 61.34
2008,9.04 13.83 5.11,13.00 19.83 7.44,63.51 97.23 39.87,102.14 150.16 67.52,177.35 238.73 132.43,200.12 269.52 149.02,234.73 302.65 183.46,239.17 306.22 187.18,241.27 313.27 189.14,244.83 308.80 194.11,244.96 316.19 193.31,247.83 315.44 195.85,245.77 319.91 193.02,248.62 316.22 195.88,244.47 316.59 193.07,247.78 319.10 199.36,238.73 304.73 187.64,241.89 311.28 191.65,227.77 291.19 178.24,230.59 293.81 182.96,208.18 266.85 159.38,208.10 264.47 157.77,178.12 234.69 126.45,171.37 226.67 120.64,156.59 211.25 105.83,143.91 201.33 94.88,128.36 182.19 80.18,106.56 160.76 62.47
