,<5 years,,5-9 Years,,5-14 Years,,15-19 years,,20-24 Years,,25-29 Years,,30-34 Years,,35-39 Years,,40-44 years,,45-49 years,,50-54 Years,,55-59 Years,,60-64 Years,,65-69 Years,,70-74 Years,,75-84 Years,,85+ years,
Prevalence Rate,Male,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,,
1999,21.41 26.59 17.29,18.71 24.31 13.89,67.04 90.37 48.18,78.00 106.16 55.32,88.81 117.14 66.86,106.38 138.82 79.65,152.87 199.35 115.69,178.14 230.45 137.23,185.18 229.94 145.69,206.75 256.26 164.38,203.62 249.45 164.91,222.30 272.08 179.89,223.29 272.23 185.01,237.03 287.47 195.63,252.51 301.49 213.50,263.04 312.61 219.82,269.65 319.37 231.24,279.22 330.71 236.96,278.57 327.43 236.95,285.60 335.73 242.78,296.13 348.66 252.72,303.58 356.26 257.96,303.19 356.23 260.27,312.23 368.36 266.91,301.63 355.63 258.99,313.24 371.31 268.82,307.67 361.41 266.19,321.70 378.86 277.72,320.94 375.57 277.27,339.02 393.67 291.49,343.58 401.18 295.81,367.79 425.61 315.97,386.18 458.41 327.70,440.12 518.61 378.05
2000,21.80 27.07 17.67,18.97 24.66 14.18,68.08 91.64 49.22,78.85 107.36 56.03,89.86 118.36 67.71,107.25 139.84 80.45,152.73 199.42 115.45,177.59 229.89 136.84,187.25 232.02 147.27,208.21 258.21 165.62,205.79 252.18 166.73,223.55 273.38 180.85,224.89 274.21 186.42,238.04 288.89 196.53,250.86 299.65 212.27,260.57 309.66 217.66,274.52 324.95 235.69,283.49 335.93 240.59,278.56 327.40 236.81,285.09 335.53 242.48,299.40 352.42 255.83,305.47 358.60 259.80,307.25 361.01 263.98,314.98 371.10 269.40,305.85 360.16 262.99,316.34 374.56 271.56,309.52 363.25 268.01,322.20 379.24 278.20,321.99 376.61 278.52,339.48 394.01 292.01,346.43 403.89 298.97,369.81 427.39 317.83,391.19 463.75 332.35,443.46 521.85 381.03
2001,22.14 27.45 18.01,19.19 24.88 14.37,68.98 92.66 50.00,79.53 108.12 56.68,90.93 119.68 68.55,108.13 140.97 81.11,152.32 198.98 115.12,176.80 228.75 136.15,189.05 234.29 148.81,209.55 259.91 166.59,208.23 255.12 168.53,225.26 275.65 182.21,226.92 276.65 187.95,239.72 290.84 197.99,249.58 298.20 211.12,258.50 307.46 216.03,278.24 329.14 238.74,286.54 339.72 243.16,280.71 329.59 238.51,286.89 337.60 243.84,300.92 354.28 257.03,305.74 359.19 259.90,309.68 363.68 266.17,316.21 372.41 270.30,310.44 365.30 266.97,319.80 378.79 274.56,311.41 365.11 269.95,322.81 380.14 278.65,323.42 377.95 279.67,339.82 394.57 292.28,348.93 406.59 301.16,371.53 429.19 319.52,395.07 468.42 335.73,445.22 524.00 382.47
2002,22.45 27.81 18.30,19.39 25.09 14.62,69.81 93.61 50.72,80.14 108.80 57.27,92.07 121.14 69.47,109.09 142.23 82.05,151.98 198.62 114.91,176.17 227.84 135.57,190.61 236.33 150.20,210.81 261.53 167.46,211.23 258.73 170.83,227.77 278.88 184.18,229.14 279.34 189.61,241.72 293.20 199.72,249.28 297.97 210.75,257.67 306.74 215.34,280.26 331.42 240.26,287.86 341.48 244.23,284.20 333.43 241.42,290.17 341.40 246.33,301.33 354.84 257.32,305.33 358.93 259.41,314.95 369.51 270.76,320.03 376.80 273.43,315.02 370.56 270.94,323.19 383.00 277.50,314.57 368.64 272.91,324.74 382.68 280.06,325.06 379.60 280.96,340.23 395.23 292.45,351.93 409.90 303.73,373.84 431.84 321.58,397.96 472.01 338.26,446.13 525.21 383.15
2003,22.74 28.13 18.52,19.57 25.32 14.83,70.61 94.47 51.36,80.71 109.48 57.81,93.22 122.64 70.39,110.07 143.57 82.97,151.95 198.65 115.00,175.92 227.40 135.29,191.78 237.93 151.23,211.76 262.77 168.04,214.43 262.60 173.34,230.65 282.56 186.53,231.38 282.09 191.26,243.75 295.70 201.47,250.02 298.99 211.25,258.13 307.56 215.70,280.18 331.55 239.89,287.08 340.65 243.53,289.29 339.26 245.79,295.04 347.02 250.30,301.23 354.91 257.14,304.45 358.02 258.59,319.58 374.75 274.56,323.45 380.80 276.15,320.17 376.43 275.38,327.24 387.81 281.21,318.95 373.85 276.73,327.87 386.24 282.51,326.94 381.57 282.37,340.76 395.93 292.76,355.15 413.43 306.48,376.24 434.57 323.83,400.83 475.62 340.45,446.34 525.34 383.14
2004,23.02 28.43 18.72,19.74 25.54 14.98,71.38 95.28 51.91,81.23 110.16 58.32,94.35 124.09 71.29,111.01 144.88 83.84,152.38 199.24 115.45,176.16 227.60 135.43,192.36 238.82 151.67,212.10 263.24 168.17,217.47 266.06 175.69,233.42 286.05 188.92,233.68 284.87 192.94,245.71 298.21 203.17,251.41 300.80 212.27,259.36 309.26 216.71,279.10 330.57 238.61,285.29 338.57 242.01,294.89 345.83 250.69,300.43 353.18 255.00,302.92 357.04 258.51,305.38 358.97 259.42,320.47 375.91 275.19,323.66 381.04 276.06,325.03 381.92 279.52,330.45 391.52 284.08,323.79 379.60 280.85,331.90 390.67 285.84,328.91 383.60 283.86,341.04 396.07 293.16,357.89 416.39 308.78,377.97 436.47 325.45,405.02 480.51 343.79,447.33 526.13 383.81
2005,23.27 28.72 18.89,19.88 25.71 15.09,72.11 96.13 52.41,81.70 110.75 58.80,95.36 125.24 72.15,111.82 146.03 84.50,153.27 200.40 116.27,176.91 228.45 136.05,192.34 238.76 151.55,211.73 262.80 167.80,220.09 269.11 177.70,235.71 288.92 190.93,236.10 287.76 194.72,247.65 300.74 204.76,253.11 302.95 213.54,260.90 311.32 218.01,277.36 328.78 236.74,282.91 335.70 240.04,299.99 351.85 255.20,305.23 358.58 259.25,302.61 356.25 258.17,304.77 358.01 258.85,323.76 379.76 277.95,325.69 383.39 277.81,328.73 386.04 282.43,332.91 394.17 286.21,327.87 384.36 284.34,334.86 393.79 288.41,330.90 385.63 285.38,341.30 396.14 293.63,360.00 418.65 310.49,378.69 437.19 326.24,410.51 486.49 348.33,449.24 527.53 385.50
2006,23.51 29.01 19.08,20.02 25.87 15.21,72.80 97.00 52.95,82.14 111.44 59.04,96.31 126.35 72.87,112.59 147.14 85.18,154.77 202.04 117.36,178.35 230.12 137.15,192.13 238.56 151.18,211.08 261.95 167.17,222.57 272.19 179.55,237.80 291.41 192.44,238.96 291.30 197.23,250.01 303.55 206.61,255.31 305.55 215.53,263.01 313.75 219.71,276.02 327.19 235.37,280.81 332.96 238.10,303.93 356.36 258.52,308.66 362.51 261.96,304.81 359.10 260.11,306.70 360.02 260.61,325.14 381.38 279.03,325.89 383.99 278.02,330.68 388.26 284.07,333.70 395.17 286.98,332.42 389.47 288.41,338.40 397.66 291.75,332.93 388.08 287.13,341.84 396.84 294.04,361.76 420.72 311.95,378.73 437.70 326.32,417.17 493.72 354.58,452.51 530.85 388.93
2007,23.74 29.30 19.27,20.16 26.05 15.35,73.49 97.87 53.50,82.58 112.19 59.27,97.25 127.47 73.68,113.37 148.28 85.83,156.86 204.48 118.89,180.45 232.67 138.79,192.15 238.72 151.01,210.69 261.41 166.78,224.97 275.30 181.31,239.79 293.79 193.91,242.70 295.90 200.52,253.28 307.38 209.18,257.95 308.68 217.93,265.47 316.60 221.73,275.89 327.12 235.02,280.01 331.73 237.27,306.25 359.23 260.39,310.21 364.28 263.16,308.59 363.36 263.41,310.31 364.23 263.64,325.30 381.57 279.08,325.34 383.58 277.49,336.18 394.80 288.90,337.74 400.05 290.61,336.76 394.51 292.20,341.66 401.43 294.55,336.28 392.10 290.02,343.91 399.35 295.74,363.44 422.73 313.27,378.77 438.19 326.37,424.10 501.30 361.19,455.74 534.16 392.26
2008,23.96 29.59 19.44,20.30 26.23 15.49,74.16 98.72 54.03,82.99 112.91 59.49,98.16 128.57 74.47,114.08 149.34 86.38,159.19 207.27 120.59,182.83 235.60 140.65,192.55 239.34 151.15,210.72 261.35 166.82,226.99 278.07 182.80,241.36 295.66 195.04,246.81 300.96 204.13,256.94 311.84 212.00,260.74 311.97 220.46,267.93 319.46 223.73,276.93 328.62 235.71,280.60 332.41 237.54,306.37 359.67 260.37,309.44 363.33 262.19,314.20 369.73 268.26,315.71 370.69 268.20,325.10 381.44 278.57,324.47 382.81 276.66,341.21 400.84 293.36,341.61 404.84 293.98,341.81 400.31 296.62,345.73 406.05 298.08,341.02 397.77 294.15,347.35 403.51 298.57,365.52 425.28 314.97,379.16 439.03 326.75,430.36 508.24 367.20,458.69 537.21 394.96
2009,24.16 29.88 19.61,20.43 26.39 15.57,74.78 99.52 54.52,83.33 113.48 59.60,99.01 129.59 75.21,114.67 150.07 86.81,161.51 210.05 122.22,185.14 238.50 142.44,193.37 240.44 151.81,211.26 261.92 167.27,228.20 279.95 183.63,242.11 296.56 195.45,250.62 305.62 207.47,260.40 316.14 214.62,263.58 315.29 223.09,270.34 322.26 225.65,278.63 330.85 237.07,282.04 334.24 238.57,305.40 358.92 259.40,307.59 361.18 260.43,320.43 376.86 273.61,321.76 377.72 273.33,326.92 383.69 279.87,325.67 384.43 277.50,342.53 402.65 294.59,342.38 406.03 294.61,346.77 405.79 300.94,349.11 409.87 301.07,346.30 404.12 298.73,351.97 408.96 302.45,367.48 427.65 316.60,379.47 439.72 327.13,436.02 514.58 372.59,461.66 540.93 397.45
2010,24.39 30.20 19.80,20.58 26.57 15.66,75.29 100.20 54.93,83.53 113.81 59.58,99.73 130.69 75.83,115.05 150.37 87.08,163.59 212.56 123.61,187.09 240.97 143.89,194.58 242.03 152.65,212.23 263.09 168.06,228.51 280.71 183.69,241.86 296.32 195.15,253.73 309.37 210.16,263.18 319.68 216.64,266.48 318.66 225.79,272.74 325.21 227.55,280.57 333.31 238.62,283.88 336.60 239.96,303.66 357.07 257.83,305.18 358.61 258.28,326.19 383.46 278.35,327.27 384.20 277.84,326.78 383.80 279.62,325.43 383.97 277.13,346.57 407.56 298.27,345.41 409.83 297.06,350.84 410.36 304.54,352.11 413.18 303.83,350.83 409.59 302.50,355.62 413.57 305.59,369.61 430.28 318.40,380.01 440.71 327.72,440.67 519.97 376.84,464.20 544.21 399.55
2011,24.64 30.52 19.97,20.71 26.82 15.69,75.82 101.12 55.17,83.63 113.99 59.63,100.39 131.52 76.19,115.16 150.83 86.87,165.31 214.98 124.87,188.51 243.21 144.89,196.21 244.02 153.83,213.65 265.23 169.11,228.14 280.56 183.37,240.91 295.43 194.08,256.20 312.96 211.91,265.49 322.93 218.35,269.42 322.81 228.19,275.47 328.88 229.62,282.59 335.72 239.76,286.39 340.21 242.04,301.83 355.27 255.91,303.19 356.93 255.97,330.18 388.70 281.33,331.46 389.37 280.92,328.97 386.94 281.40,328.22 387.65 279.28,347.89 409.84 298.78,346.62 411.88 297.70,352.57 412.67 305.47,353.65 415.72 304.86,355.58 414.67 306.12,360.44 419.72 309.52,371.85 433.20 319.98,381.69 443.14 328.80,443.39 523.96 378.56,467.31 548.93 402.02
2012,24.88 30.85 20.11,20.76 26.97 15.70,76.44 102.29 55.40,83.66 113.96 59.41,101.06 132.45 76.48,115.04 150.80 86.38,166.75 217.20 125.90,189.50 245.08 145.27,198.16 246.49 155.25,215.49 268.01 170.42,227.49 280.05 182.84,239.89 294.50 192.95,258.03 315.85 213.11,267.42 325.84 219.70,272.71 327.38 230.65,279.00 333.50 232.36,284.47 338.31 240.77,289.19 344.26 244.03,300.66 354.00 254.41,302.63 356.73 254.95,331.60 391.01 281.81,333.64 392.37 282.34,332.06 391.17 283.80,332.84 393.58 282.74,346.99 409.50 297.43,346.97 412.92 297.73,357.62 419.11 309.43,359.38 423.25 309.56,359.08 418.76 308.73,365.00 425.42 313.00,374.19 436.31 321.59,384.86 447.43 330.92,445.98 527.81 380.12,472.12 555.39 406.09
2013,25.11 31.19 20.31,20.75 27.03 15.64,77.05 103.52 55.58,83.57 113.83 59.03,101.70 133.48 76.81,114.75 150.59 85.83,168.07 219.34 126.82,190.19 246.91 145.31,200.26 249.12 156.87,217.49 270.92 171.88,227.04 279.74 182.44,239.22 294.02 192.08,259.25 317.85 213.77,268.72 328.05 220.51,276.16 332.15 233.23,282.78 338.44 235.32,286.29 340.96 241.81,291.84 348.47 245.98,300.54 354.01 253.97,303.46 358.24 255.06,330.35 390.11 279.95,333.19 392.38 281.41,336.78 397.30 287.57,339.29 401.48 287.79,345.42 408.47 295.49,346.89 413.52 297.29,361.78 424.65 312.72,365.00 430.75 314.12,362.99 423.83 311.76,370.43 431.97 317.33,377.39 440.52 323.91,389.15 453.07 333.96,449.27 532.43 382.33,477.90 563.59 411.00
2014,25.32 31.52 20.50,20.71 27.10 15.57,77.58 104.47 55.74,83.36 113.80 58.54,102.30 134.46 77.11,114.36 150.33 85.22,169.43 221.57 127.76,190.70 248.63 145.20,202.47 251.80 158.58,219.50 273.79 173.27,227.28 280.22 182.52,239.28 294.48 191.78,259.79 319.01 213.81,269.07 329.17 220.52,279.49 336.80 235.70,286.29 343.05 238.02,288.44 343.89 243.41,294.28 352.32 247.78,301.31 355.09 254.28,304.99 360.47 255.90,328.11 387.76 277.32,331.37 390.79 279.32,342.33 404.38 292.08,346.22 410.05 293.32,346.02 409.97 295.55,348.68 416.24 298.27,362.12 425.81 312.57,366.99 433.96 315.51,366.96 428.98 315.13,374.84 437.18 320.52,381.34 445.62 326.93,393.96 459.23 337.44,453.83 538.43 385.81,483.90 572.10 415.64
2015,25.47 31.73 20.63,20.64 27.12 15.47,78.04 105.29 55.88,83.13 113.83 58.21,102.85 135.38 77.37,113.98 150.03 84.64,170.92 223.92 128.79,191.14 250.18 145.23,204.72 254.33 160.14,221.32 276.46 174.44,228.46 281.83 183.33,240.21 296.14 192.14,259.86 319.68 213.41,268.47 329.12 219.74,282.60 340.89 237.97,289.08 346.80 240.11,291.28 347.56 245.67,296.59 355.89 249.27,302.87 357.10 255.26,306.65 362.76 256.89,325.69 385.24 275.01,328.58 388.20 276.52,347.98 411.61 296.58,352.25 417.65 298.16,345.25 409.78 294.53,348.56 416.58 297.46,366.05 431.23 315.39,371.06 439.35 318.91,370.57 433.64 318.10,378.24 441.09 323.10,385.48 450.97 330.11,397.63 463.92 339.99,459.28 545.50 389.98,488.48 578.87 419.33
2016,25.55 31.89 20.64,20.51 26.97 15.29,78.50 106.26 56.11,82.83 113.91 57.66,103.45 136.26 77.67,113.58 149.66 84.08,172.56 225.71 129.86,191.25 250.68 145.30,207.34 257.70 162.12,222.66 278.40 175.32,231.29 285.76 185.11,241.91 298.56 193.53,260.64 321.25 213.65,267.34 328.34 217.66,286.79 346.33 240.84,291.55 350.66 241.97,296.28 353.63 250.10,299.42 359.78 251.49,306.96 362.27 257.85,309.04 366.05 258.27,325.93 385.96 274.90,325.99 385.81 273.38,354.91 419.60 301.81,356.61 423.16 301.70,350.39 416.55 298.51,351.59 420.70 299.60,370.40 436.73 318.43,372.48 441.97 319.42,375.44 439.95 321.65,379.74 443.32 323.87,393.83 460.90 336.64,402.14 469.30 342.71,469.20 557.73 398.11,493.08 585.95 422.70
2017,25.67 32.12 20.64,20.38 26.83 15.08,78.91 107.14 56.26,82.41 113.91 57.16,104.07 137.21 77.95,113.11 149.37 83.52,174.26 227.67 130.89,191.00 250.75 144.90,210.42 261.80 164.32,223.53 280.31 175.37,235.68 291.76 187.95,244.14 301.81 195.10,262.61 324.45 214.77,266.37 327.62 215.80,292.20 353.35 244.51,293.82 354.49 243.60,303.92 363.11 256.51,303.40 365.13 254.33,313.49 370.44 262.62,311.92 370.04 260.18,329.74 390.89 277.56,324.90 385.37 271.39,362.45 428.91 307.13,358.61 426.51 302.90,360.15 428.29 306.32,356.50 427.24 303.01,376.19 443.61 322.63,372.57 443.13 318.66,388.76 455.72 332.88,386.32 451.98 328.92,405.97 475.52 346.22,407.31 475.54 345.76,483.38 575.56 409.94,497.74 593.23 425.89
2018,25.90 32.50 20.68,20.35 26.87 14.96,79.23 107.76 56.40,81.97 113.88 56.62,104.64 138.05 78.19,112.67 149.19 83.00,175.88 229.71 131.86,190.72 251.30 144.40,213.53 266.17 166.49,224.27 282.15 175.25,240.60 298.60 191.11,246.68 305.48 196.71,265.22 328.48 216.40,265.97 327.55 214.77,297.43 360.14 247.96,295.48 357.50 244.80,312.24 373.26 263.24,307.68 370.77 257.49,320.38 379.34 267.75,314.57 373.88 261.91,335.02 397.51 281.35,325.23 386.59 271.07,367.42 435.33 310.15,357.52 426.06 301.32,372.31 442.85 315.76,363.19 435.87 307.47,381.61 450.25 326.41,371.97 443.58 317.09,401.86 471.30 343.46,392.46 460.31 333.35,419.39 491.71 356.85,413.10 482.40 349.60,497.51 593.41 421.74,501.31 599.13 426.88
2019,26.22 32.97 20.80,20.45 27.06 14.97,79.52 108.17 56.53,81.67 113.96 56.10,105.14 138.86 78.28,112.44 149.43 82.80,177.22 231.41 132.66,190.73 252.05 143.90,216.22 269.95 168.39,225.23 283.94 175.57,245.05 304.66 193.95,249.34 309.18 198.68,267.88 332.46 218.18,266.42 328.41 214.91,300.94 365.04 250.07,295.98 358.77 245.12,319.14 381.59 268.25,311.32 375.47 259.66,326.01 387.16 271.92,316.73 376.97 263.64,339.25 402.91 284.49,326.11 388.21 271.17,368.79 437.29 310.42,354.66 423.21 298.05,382.93 455.42 323.88,370.00 444.50 312.18,386.64 456.55 329.75,372.94 445.65 316.85,407.33 478.44 347.37,394.00 463.31 333.88,429.31 504.22 364.51,417.43 487.54 352.51,506.70 604.98 429.13,502.07 601.44 425.53
2020,26.58 33.19 21.27,20.70 27.32 15.19,79.62 107.79 56.77,81.28 113.69 55.55,105.59 138.77 78.95,112.42 148.90 82.42,178.19 232.94 132.96,191.48 252.92 144.55,218.43 273.27 169.82,227.15 285.98 177.05,248.69 309.16 196.63,252.58 313.76 200.64,270.89 336.68 220.42,268.66 331.98 216.72,302.94 368.76 251.74,296.20 359.32 244.42,324.70 388.60 272.63,314.94 380.42 262.51,331.56 394.10 276.31,319.96 382.05 265.50,343.58 408.52 287.92,328.75 392.50 272.84,368.82 439.02 309.81,352.32 420.88 295.88,392.32 466.92 332.21,377.05 452.24 317.41,388.90 460.20 331.55,373.31 445.28 317.62,414.97 488.07 352.85,399.17 468.30 336.63,435.79 512.57 370.67,421.18 491.85 355.51,511.30 609.20 433.92,502.21 602.57 424.16
2021,26.95 33.83 21.06,20.64 27.30 14.70,79.57 108.99 55.83,80.19 113.72 54.05,106.19 141.34 77.76,111.49 149.25 80.72,180.40 236.59 133.52,190.81 255.03 142.79,222.27 279.96 171.78,227.98 288.41 176.81,253.97 317.05 200.13,254.80 317.50 200.95,276.72 344.21 225.13,271.30 336.71 217.98,306.64 374.51 254.30,295.90 361.19 243.68,332.23 399.52 277.76,318.57 387.25 264.83,340.16 405.29 281.98,323.91 387.64 268.31,351.02 416.67 293.57,331.99 397.34 273.90,371.98 445.71 310.85,350.16 420.16 292.23,402.83 481.87 339.59,382.70 461.82 322.01,397.72 474.09 337.11,377.95 454.02 319.46,423.87 501.15 360.50,403.85 478.12 340.60,448.51 529.17 381.34,429.31 502.32 361.46,529.44 633.54 446.78,513.59 617.73 434.26
