Type 1,<5 years,,5-9 Years,,5-14 Years,,15-19 years,,20-24 Years,,25-29 Years,,30-34 Years,,35-39 Years,,40-44 years,,45-49 years,,50-54 Years,,55-59 Years,,60-64 Years,,65-69 Years,,70-74 Years,,75-84 Years,,85+ Years,
Prevalence Rate,Male,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
2011,11.71,15.7,48.49,79.65,70.47,108.34,135.99,174.97,177.07,204.61,206.94,225.25,232.24,242.16,252.46,257.09,265.83,269.15,275.38,278.13,282.13,284.3,287.1,288.87,288.66,291.09,282.7,287.09,270.82,275.77,248.17,249.72,206.73,193.08
2012,12.06,15.97,50.09,81.07,72.42,109.72,137.07,175.33,176.9,204.39,205.83,224.81,230.38,241.84,250.22,256.88,263.4,269.1,272.8,278.19,279.46,284.39,284.54,289.05,286.12,291.36,279.9,287.36,267.85,275.8,244.86,249.26,203.47,191.93
2013,12.48,16.27,52.03,82.65,74.87,111.33,138.34,175.66,176.68,204.09,204.53,224.26,228.14,241.46,247.16,256.47,260.16,268.83,269.44,278.01,275.94,284.23,280.91,288.98,282.58,291.42,276.58,287.37,264.46,275.54,241.12,248.35,199.53,190.52
2014,12.89,16.55,53.87,83.94,77.32,112.73,139.73,175.94,176.54,203.9,203.44,223.88,226.25,241.12,244.47,256.08,257.33,268.54,266.53,277.78,272.88,284.04,277.68,288.86,279.49,291.42,274.08,287.35,262.01,275.28,238.33,247.48,196.4,189.49
2015,13.22,16.78,55.22,84.47,79.22,113.48,141.19,176.17,176.64,203.99,203,223.95,225.46,240.95,243.32,255.91,256.13,268.42,265.31,277.7,271.62,284,276.32,288.88,278.28,291.51,273.71,287.51,261.9,275.35,237.85,247.11,195.44,189.3
2016,13.49,17,56.18,84.41,80.72,113.69,143.18,176.41,178.31,204.61,204.86,224.93,227.76,242.06,245.93,257.39,258.98,270.13,268.36,279.6,274.9,286.07,279.8,291.02,282.14,293.77,277.87,289.72,266.45,277.83,242.1,249.37,199.29,191.73
2017,13.74,17.24,57.08,84.2,82.14,113.74,145.66,176.65,181.81,205.65,209.24,226.7,233.15,244.68,252.1,260.7,265.69,273.91,275.56,283.77,282.56,290.54,287.89,295.65,290.73,298.51,286.35,294.53,275.11,282.95,250.57,254.36,207.64,196.73
2018,13.97,17.44,57.76,83.88,83.25,113.64,147.84,176.86,185.65,206.74,214.29,228.62,239.37,247.55,259.27,264.18,273.57,277.84,284,288.07,291.51,295.16,297.29,300.5,300.52,303.52,296,299.65,284.84,288.28,260.22,259.53,217.32,201.78
2019,14.16,17.56,58.12,83.49,83.82,113.44,148.92,176.97,188.32,207.5,218.12,230.04,244.1,249.38,264.87,266.16,279.86,279.99,290.78,290.35,298.63,297.65,304.62,303.32,307.93,306.52,303.63,302.73,292.59,291.35,267.97,262.3,225.28,204.62
2020,14.33,17.47,58.01,81.49,83.5,111.82,148.64,176.64,189.76,208.02,220.5,230.99,247.12,250.19,268.62,266.74,284.35,280.39,295.83,290.74,304.13,298.24,310.42,304.4,313.79,308.08,309.44,304.38,298.24,292.7,273.79,262.93,231.18,205.2
2021,14.82,17.8,59.66,83.3,86.64,113.91,154.92,179.18,197.49,211.36,229.48,235.17,257.25,255.34,279.77,272.61,296.4,286.7,308.43,297.33,316.94,305.07,323.46,311.21,327.02,314.51,322.94,310.92,311.07,299.37,286.54,270.59,242.93,212.74
