Prevalence-Rate-Global-Type-1,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
1999,21.41 26.59 17.29,18.71 24.31 13.89,88.81 117.14 66.86,106.38 138.82 79.65,200.39 240.91 164.76,218.96 267.05 179.30,269.65 319.37 231.24,279.22 330.71 236.96,278.57 327.43 236.95,285.60 335.73 242.78,296.13 348.66 252.72,303.58 356.26 257.96,303.19 356.23 260.27,312.23 368.36 266.91,301.63 355.63 258.99,313.24 371.31 268.82,307.67 361.41 266.19,321.70 378.86 277.72,320.94 375.57 277.27,339.02 393.67 291.49,343.58 401.18 295.81,367.79 425.61 315.97,384.13 455.53 324.34,426.72 498.50 365.72,392.48 472.00 334.61,464.78 550.58 401.69,389.05 469.92 331.23,492.92 583.77 423.78
2000,21.80 27.07 17.67,18.97 24.66 14.18,89.86 118.36 67.71,107.25 139.84 80.45,201.30 241.92 165.58,219.25 267.26 179.59,274.52 324.95 235.69,283.49 335.93 240.59,278.56 327.40 236.81,285.09 335.53 242.48,299.40 352.42 255.83,305.47 358.60 259.80,307.25 361.01 263.98,314.98 371.10 269.40,305.85 360.16 262.99,316.34 374.56 271.56,309.52 363.25 268.01,322.20 379.24 278.20,321.99 376.61 278.52,339.48 394.01 292.01,346.43 403.89 298.97,369.81 427.39 317.83,388.83 460.60 328.78,429.92 502.28 368.91,399.35 480.59 341.06,468.45 554.39 404.97,389.72 470.47 332.01,492.23 582.48 424.38
2001,22.14 27.45 18.01,19.19 24.88 14.37,90.93 119.68 68.55,108.13 140.97 81.11,202.19 243.06 166.26,219.65 267.80 179.96,278.24 329.14 238.74,286.54 339.72 243.16,280.71 329.59 238.51,286.89 337.60 243.84,300.92 354.28 257.03,305.74 359.19 259.90,309.68 363.68 266.17,316.21 372.41 270.30,310.44 365.30 266.97,319.80 378.79 274.56,311.41 365.11 269.95,322.81 380.14 278.65,323.42 377.95 279.67,339.82 394.57 292.28,348.93 406.59 301.16,371.53 429.19 319.52,391.80 464.18 331.43,430.85 503.08 369.23,406.55 488.56 347.58,471.50 557.77 408.02,391.56 471.62 334.23,491.74 581.45 424.54
2002,22.45 27.81 18.30,19.39 25.09 14.62,92.07 121.14 69.47,109.09 142.23 82.05,203.29 244.51 167.11,220.45 268.82 180.61,280.26 331.42 240.26,287.86 341.48 244.23,284.20 333.43 241.42,290.17 341.40 246.33,301.33 354.84 257.32,305.33 358.93 259.41,314.95 369.51 270.76,320.03 376.80 273.43,315.02 370.56 270.94,323.19 383.00 277.50,314.57 368.64 272.91,324.74 382.68 280.06,325.06 379.60 280.96,340.23 395.23 292.45,351.93 409.90 303.73,373.84 431.84 321.58,393.46 466.31 332.78,430.62 502.56 368.50,413.41 496.02 353.82,474.27 560.39 410.51,393.63 473.34 336.76,490.67 579.72 424.05
2003,22.74 28.13 18.52,19.57 25.32 14.83,93.22 122.64 70.39,110.07 143.57 82.97,204.57 246.21 168.01,221.53 270.19 181.42,280.18 331.55 239.89,287.08 340.65 243.53,289.29 339.26 245.79,295.04 347.02 250.30,301.23 354.91 257.14,304.45 358.02 258.59,319.58 374.75 274.56,323.45 380.80 276.15,320.17 376.43 275.38,327.24 387.81 281.21,318.95 373.85 276.73,327.87 386.24 282.51,326.94 381.57 282.37,340.76 395.93 292.76,355.15 413.43 306.48,376.24 434.57 323.83,394.53 467.79 333.40,428.94 500.40 366.61,421.45 504.94 361.14,477.62 563.97 413.00,397.65 477.38 340.51,490.91 578.81 424.41
2004,23.02 28.43 18.72,19.74 25.54 14.98,94.35 124.09 71.29,111.01 144.88 83.84,205.93 248.04 168.97,222.71 271.64 182.32,279.10 330.57 238.61,285.29 338.57 242.01,294.89 345.83 250.69,300.43 353.18 255.00,302.92 357.04 258.51,305.38 358.97 259.42,320.47 375.91 275.19,323.66 381.04 276.06,325.03 381.92 279.52,330.45 391.52 284.08,323.79 379.60 280.85,331.90 390.67 285.84,328.91 383.60 283.86,341.04 396.07 293.16,357.89 416.39 308.78,377.97 436.47 325.45,397.22 470.88 335.67,428.57 499.88 366.05,429.89 514.39 368.64,481.02 567.75 415.66,402.63 482.34 345.16,491.76 579.77 425.19
2005,23.27 28.72 18.89,19.88 25.71 15.09,95.36 125.24 72.15,111.82 146.03 84.50,207.32 249.88 169.95,223.85 273.02 183.27,277.36 328.78 236.74,282.91 335.70 240.04,299.99 351.85 255.20,305.23 358.58 259.25,302.61 356.25 258.17,304.77 358.01 258.85,323.76 379.76 277.95,325.69 383.39 277.81,328.73 386.04 282.43,332.91 394.17 286.21,327.87 384.36 284.34,334.86 393.79 288.41,330.90 385.63 285.38,341.30 396.14 293.63,360.00 418.65 310.49,378.69 437.19 326.24,402.34 476.13 340.52,430.11 501.15 367.53,436.84 522.45 374.46,484.12 571.53 418.28,408.21 488.03 349.98,493.38 581.42 426.72
2006,23.51 29.01 19.08,20.02 25.87 15.21,96.31 126.35 72.87,112.59 147.14 85.18,209.03 251.92 171.34,225.28 274.71 184.29,276.02 327.19 235.37,280.81 332.96 238.10,303.93 356.36 258.52,308.66 362.51 261.96,304.81 359.10 260.11,306.70 360.02 260.61,325.14 381.38 279.03,325.89 383.99 278.02,330.68 388.26 284.07,333.70 395.17 286.98,332.42 389.47 288.41,338.40 397.66 291.75,332.93 388.08 287.13,341.84 396.84 294.04,361.76 420.72 311.95,378.73 437.70 326.32,410.07 483.94 348.03,435.11 506.25 372.68,440.90 528.17 377.52,484.72 572.74 419.53,414.37 495.97 355.11,495.18 583.53 428.02
2007,23.74 29.30 19.27,20.16 26.05 15.35,97.25 127.47 73.68,113.37 148.28 85.83,211.20 254.57 173.13,227.16 276.95 185.68,275.89 327.12 235.02,280.01 331.73 237.27,306.25 359.23 260.39,310.21 364.28 263.16,308.59 363.36 263.41,310.31 364.23 263.64,325.30 381.57 279.08,325.34 383.58 277.49,336.18 394.80 288.90,337.74 400.05 290.61,336.76 394.51 292.20,341.66 401.43 294.55,336.28 392.10 290.02,343.91 399.35 295.74,363.44 422.73 313.27,378.77 438.19 326.37,418.73 492.88 356.41,440.85 512.77 378.32,442.84 531.30 379.07,483.37 571.43 418.27,421.11 504.42 360.69,496.60 584.70 428.86
2008,23.96 29.59 19.44,20.30 26.23 15.49,98.16 128.57 74.47,114.08 149.34 86.38,213.56 257.51 175.15,229.22 279.41 187.23,276.93 328.62 235.71,280.60 332.41 237.54,306.37 359.67 260.37,309.44 363.33 262.19,314.20 369.73 268.26,315.71 370.69 268.20,325.10 381.44 278.57,324.47 382.81 276.66,341.21 400.84 293.36,341.61 404.84 293.98,341.81 400.31 296.62,345.73 406.05 298.08,341.02 397.77 294.15,347.35 403.51 298.57,365.52 425.28 314.97,379.16 439.03 326.75,426.49 501.53 363.53,446.25 518.80 383.37,443.91 533.17 380.00,480.70 568.76 415.57,429.40 514.99 367.68,499.49 587.84 430.81
